,game_id,team,epa,success,yards_gained,touchdown,interception,fumble_lost,season,week,home_team,away_team,home_score,away_score,opponent,win,avg_points_last3,epa_last3,epa_last5,def_epa_allowed,epa_diff
1140,2025_01_ARI_NO,ARI,0.016025030660710326,0.4444444444444444,276.0,2.0,0.0,0.0,2025,1,NO,ARI,13.0,20.0,NO,1,355.0,0.0667424235701546,0.0998456103498795,0.05375709970032001,-0.037732069039609684
1176,2025_02_CAR_ARI,ARI,0.04135731712433814,0.463768115942029,293.0,2.0,1.0,0.0,2025,2,ARI,CAR,27.0,22.0,CAR,1,320.6666666666667,0.10146782052576864,0.07226035830381096,0.05375709970032001,-0.012399782575981871
1204,2025_03_ARI_SF,ARI,-0.0027177057527233216,0.42857142857142855,260.0,1.0,0.0,0.0,2025,3,SF,ARI,16.0,15.0,SF,0,276.3333333333333,0.018221547344108403,0.04777337641641568,0.05375709970032001,-0.056474805453043335
1262,2025_04_SEA_ARI,ARI,-0.005908567067620988,0.4578313253012048,253.0,2.0,2.0,1.0,2025,4,ARI,SEA,20.0,23.0,SEA,0,268.6666666666667,0.010910348101331298,0.05915543775139227,0.05375709970032001,-0.059665666767941
1292,2025_05_TEN_ARI,ARI,-0.06345322466970844,0.39080459770114945,360.0,3.0,0.0,2.0,2025,5,ARI,TEN,21.0,22.0,TEN,0,291.0,-0.024026499163350895,-0.0029394299410008956,0.05375709970032001,-0.11721032437002846
1296,2025_06_ARI_IND,ARI,0.11739497075699161,0.5111111111111111,400.0,3.0,1.0,0.0,2025,6,IND,ARI,31.0,27.0,IND,0,337.6666666666667,0.01601105967322074,0.01733455807825536,0.05375709970032001,0.0636378710566716
1330,2025_07_GB_ARI,ARI,0.03924885016300529,0.48863636363636365,330.0,2.0,0.0,1.0,2025,7,ARI,GB,23.0,27.0,GB,0,363.3333333333333,0.031063532083429504,0.01691286468598879,0.05375709970032001,-0.014508249537314721
1168,2025_01_TB_ATL,ATL,0.010881626033896186,0.4725274725274725,358.0,2.0,0.0,0.0,2025,1,ATL,TB,20.0,23.0,TB,0,410.6666666666667,0.10313829950214846,0.03577580286354597,-0.0028137540582231424,0.01369538009211933
1172,2025_02_ATL_MIN,ATL,0.011947640001360697,0.47560975609756095,326.0,1.0,0.0,2.0,2025,2,MIN,ATL,6.0,22.0,MIN,1,407.0,0.0737834745928083,0.0773739846990215,-0.0028137540582231424,0.014761394059583838
1206,2025_03_ATL_CAR,ATL,-0.37877743879216724,0.3375,332.0,1.0,2.0,2.0,2025,3,CAR,ATL,30.0,0.0,CAR,0,338.6666666666667,-0.1186493909189701,-0.01148298005687225,-0.0028137540582231424,-0.3759636847339441
1266,2025_04_WAS_ATL,ATL,0.20917648370603623,0.5421686746987951,435.0,4.0,1.0,0.0,2025,4,ATL,WAS,34.0,27.0,WAS,1,364.3333333333333,-0.052551105028256766,0.010349893738458755,-0.0028137540582231424,0.21199023776425938
1298,2025_06_BUF_ATL,ATL,0.05339014477548505,0.5057471264367817,443.0,3.0,0.0,0.0,2025,6,ATL,BUF,24.0,14.0,BUF,1,403.3333333333333,-0.038736936770215315,-0.01867630885507782,-0.0028137540582231424,0.056203898833708195
1326,2025_07_ATL_SF,ATL,-0.0773963944764524,0.44155844155844154,292.0,1.0,0.0,1.0,2025,7,SF,ATL,20.0,10.0,SF,0,390.0,0.06172341133502296,-0.036331912957147536,-0.0028137540582231424,-0.07458264041822926
1142,2025_01_BAL_BUF,BAL,0.3402928946977512,0.5633802816901409,432.0,5.0,0.0,1.0,2025,1,BUF,BAL,41.0,40.0,BUF,0,437.3333333333333,0.22372192373841035,0.20410266207568215,-0.02945655906043888,0.36974945375819007
1180,2025_02_CLE_BAL,BAL,0.10090514597945299,0.44155844155844154,242.0,4.0,0.0,0.0,2025,2,BAL,CLE,41.0,17.0,CLE,1,363.3333333333333,0.1902313556881817,0.1730429741593296,-0.02945655906043888,0.13036170503989186
1214,2025_03_DET_BAL,BAL,0.15812726074838312,0.5540540540540541,318.0,4.0,0.0,1.0,2025,3,BAL,DET,30.0,38.0,DET,0,330.6666666666667,0.19977510047519575,0.18603963558861344,-0.02945655906043888,0.187583819808822
1236,2025_04_BAL_KC,BAL,-0.0428570985337274,0.49295774647887325,360.0,2.0,1.0,1.0,2025,4,KC,BAL,37.0,20.0,KC,0,306.6666666666667,0.07205843606470289,0.13719284585584018,-0.02945655906043888,-0.013400539473288519
1274,2025_05_HOU_BAL,BAL,-0.2504813458722078,0.43548387096774194,207.0,1.0,3.0,0.0,2025,5,BAL,HOU,10.0,44.0,HOU,0,295.0,-0.04507039455251737,0.061197371403930424,-0.02945655906043888,-0.2210247868117689
1314,2025_06_LA_BAL,BAL,-0.2630402502313445,0.4044943820224719,296.0,0.0,1.0,2.0,2025,6,BAL,LA,3.0,17.0,LA,0,287.6666666666667,-0.18545956487909324,-0.0594692575818887,-0.02945655906043888,-0.2335836911709056
1143,2025_01_BAL_BUF,BUF,0.2037605222221103,0.49056603773584906,497.0,5.0,0.0,0.0,2025,1,BUF,BAL,41.0,40.0,BAL,1,381.3333333333333,0.15587215835361745,0.12289848000636014,-0.013299260282165198,0.2170597825042755
1174,2025_02_BUF_NYJ,BUF,0.1793383270853151,0.4606741573033708,403.0,3.0,0.0,0.0,2025,2,NYJ,BUF,10.0,30.0,NYJ,1,424.6666666666667,0.17883404908575987,0.1759310923275152,-0.013299260282165198,0.1926375873674803
1228,2025_03_MIA_BUF,BUF,0.22068571042299093,0.5405405405405406,360.0,4.0,0.0,0.0,2025,3,BUF,MIA,31.0,21.0,MIA,1,420.0,0.20126151991013877,0.17352810251383166,-0.013299260282165198,0.23398497070515611
1256,2025_04_NO_BUF,BUF,0.12407909221305086,0.47368421052631576,356.0,4.0,1.0,0.0,2025,4,BUF,NO,31.0,19.0,NO,1,373.0,0.17470104324045233,0.1762533899786643,-0.013299260282165198,0.13737835249521604
1284,2025_05_NE_BUF,BUF,0.019642838023519432,0.5121951219512195,363.0,2.0,1.0,2.0,2025,5,BUF,NE,20.0,23.0,NE,0,359.6666666666667,0.12146921355318707,0.14950129799339734,-0.013299260282165198,0.03294209830568463
1299,2025_06_BUF_ATL,BUF,-0.08761878425121736,0.49295774647887325,291.0,2.0,2.0,0.0,2025,6,ATL,BUF,24.0,14.0,ATL,0,336.6666666666667,0.01870104866178433,0.0912254366987318,-0.013299260282165198,-0.07431952396905216
1144,2025_01_CAR_JAX,CAR,-0.10838754834644071,0.39473684210526316,255.0,1.0,2.0,1.0,2025,1,JAX,CAR,26.0,10.0,JAX,0,294.6666666666667,0.03046505970012915,0.03584328539333749,0.05647736968774001,-0.1648649180341807
1177,2025_02_CAR_ARI,CAR,-0.005964339923841882,0.45454545454545453,352.0,4.0,1.0,1.0,2025,2,ARI,CAR,27.0,22.0,ARI,0,344.0,0.07196215226710895,0.052629023992793934,0.05647736968774001,-0.062441709611581894
1207,2025_03_ATL_CAR,CAR,0.06721195145641011,0.5277777777777778,224.0,2.0,0.0,0.0,2025,3,CAR,ATL,30.0,0.0,ATL,1,277.0,-0.015713312271290806,0.03052855812659112,0.05647736968774001,0.0107345817686701
1238,2025_04_CAR_NE,CAR,-0.1789418814048696,0.47126436781609193,326.0,3.0,0.0,0.0,2025,4,NE,CAR,42.0,13.0,NE,0,300.6666666666667,-0.039231423290767106,0.020831305370573462,0.05647736968774001,-0.2354192510926096
1280,2025_05_MIA_CAR,CAR,0.11509170787089623,0.4606741573033708,418.0,3.0,1.0,1.0,2025,5,CAR,MIA,27.0,24.0,MIA,1,322.6666666666667,0.0011205926408122634,-0.022198022069569178,0.05647736968774001,0.05861433818315622
1306,2025_06_DAL_CAR,CAR,0.15452723309258934,0.5714285714285714,410.0,3.0,1.0,0.0,2025,6,CAR,DAL,30.0,27.0,DAL,1,384.6666666666667,0.030225686519538674,0.03038493421823683,0.05647736968774001,0.09804986340484934
1328,2025_07_CAR_NYJ,CAR,-0.05396387823663833,0.4044943820224719,302.0,1.0,0.0,0.0,2025,7,NYJ,CAR,6.0,13.0,NYJ,1,376.6666666666667,0.07188502090894909,0.02078502655567754,0.05647736968774001,-0.11044124792437834
1160,2025_01_MIN_CHI,CHI,-0.11061522895678677,0.37777777777777777,317.0,2.0,0.0,1.0,2025,1,CHI,MIN,24.0,27.0,MIN,0,240.0,-0.1304851869323399,-0.11322158044142143,-0.021975802125486936,-0.08863942683129983
1178,2025_02_CHI_DET,CHI,-0.12246116684698148,0.4069767441860465,339.0,3.0,1.0,1.0,2025,2,DET,CHI,52.0,21.0,DET,0,293.3333333333333,-0.1210786555005145,-0.10343713408480863,-0.021975802125486936,-0.10048536472149455
1210,2025_03_DAL_CHI,CHI,0.20323441657903593,0.4861111111111111,385.0,4.0,0.0,0.0,2025,3,CHI,DAL,31.0,14.0,DAL,1,347.0,-0.00994732640824413,-0.06213646221299303,-0.021975802125486936,0.22521021870452287
1240,2025_04_CHI_LV,CHI,-0.07257224048426521,0.45348837209302323,271.0,2.0,1.0,0.0,2025,4,LV,CHI,24.0,25.0,LV,1,331.6666666666667,0.0027336697492630576,-0.04651475808135454,-0.021975802125486936,-0.05059643835877827
1300,2025_06_CHI_WAS,CHI,0.09301964133496841,0.5063291139240507,381.0,2.0,0.0,0.0,2025,6,WAS,CHI,24.0,25.0,WAS,1,345.6666666666667,0.07456060580991303,-0.0018789156748058144,-0.021975802125486936,0.11499544346045534
1344,2025_07_NO_CHI,CHI,-0.010088376269930895,0.4431818181818182,386.0,2.0,1.0,0.0,2025,7,CHI,NO,26.0,14.0,NO,1,346.0,0.0034530081935907476,0.018226454862565362,-0.021975802125486936,0.011887425855556041
1146,2025_01_CIN_CLE,CIN,-0.06649989188349305,0.4411764705882353,141.0,2.0,0.0,0.0,2025,1,CLE,CIN,16.0,17.0,CLE,1,318.0,0.03669885749081037,0.04992569138629394,0.048204604328366,-0.11470449621185905
1184,2025_02_JAX_CIN,CIN,0.08231229884117741,0.5180722891566265,350.0,4.0,3.0,0.0,2025,2,CIN,JAX,31.0,27.0,JAX,1,268.3333333333333,0.02475220365115995,0.04531417511019384,0.048204604328366,0.03410769451281141
1208,2025_03_CIN_MIN,CIN,-0.5131050496633522,0.3333333333333333,171.0,3.0,2.0,3.0,2025,3,MIN,CIN,48.0,10.0,MIN,0,220.66666666666666,-0.16576421423522264,-0.06413923566994871,0.048204604328366,-0.5613096539917183
1242,2025_04_CIN_DEN,CIN,-0.15515739923456054,0.38235294117647056,159.0,0.0,0.0,0.0,2025,4,DEN,CIN,28.0,3.0,DEN,0,226.66666666666666,-0.19531671668557848,-0.11880116758888655,0.048204604328366,-0.20336200356292655
1272,2025_05_DET_CIN,CIN,-0.019111942505494896,0.4875,322.0,3.0,3.0,0.0,2025,5,CIN,DET,24.0,37.0,DET,0,217.33333333333334,-0.22912479713446923,-0.13431239688914465,0.048204604328366,-0.0673165468338609
1302,2025_06_CIN_GB,CIN,0.09646900685721901,0.5308641975308642,270.0,2.0,0.0,0.0,2025,6,GB,CIN,27.0,18.0,GB,0,250.33333333333334,-0.02593344496094549,-0.10171861714100223,0.048204604328366,0.048264402528853015
1350,2025_07_PIT_CIN,CIN,0.21908685068898728,0.5368421052631579,470.0,3.0,0.0,0.0,2025,7,CIN,PIT,33.0,31.0,PIT,1,354.0,0.09881463834690378,-0.07436370677144025,0.048204604328366,0.17088224636062127
1147,2025_01_CIN_CLE,CLE,-0.088101396139557,0.4,327.0,2.0,2.0,0.0,2025,1,CLE,CIN,16.0,17.0,CIN,0,277.6666666666667,-0.21050187681666213,-0.2374314387425212,-0.0682313688121001,-0.019870027327456907
1181,2025_02_CLE_BAL,CLE,-0.2268946369702979,0.43478260869565216,322.0,3.0,1.0,1.0,2025,2,BAL,CLE,41.0,17.0,BAL,0,293.0,-0.19012379146596547,-0.215353154424789,-0.0682313688121001,-0.1586632681581978
1216,2025_03_GB_CLE,CLE,-0.09277101683955041,0.4050632911392405,221.0,1.0,1.0,0.0,2025,3,CLE,GB,13.0,10.0,GB,1,290.0,-0.1359223499831351,-0.19023425685196696,-0.0682313688121001,-0.024539648027450317
1244,2025_04_CLE_DET,CLE,-0.3820344020803852,0.3023255813953488,249.0,2.0,2.0,1.0,2025,4,DET,CLE,34.0,10.0,DET,0,264.0,-0.23390001863007784,-0.2090353586635664,-0.0682313688121001,-0.31380303326828507
1282,2025_05_MIN_CLE,CLE,-0.008132147933331398,0.4157303370786517,322.0,2.0,0.0,0.0,2025,5,CLE,MIN,17.0,21.0,MIN,0,264.0,-0.160979188951089,-0.15958671999262436,-0.0682313688121001,0.0600992208787687
1304,2025_06_CLE_PIT,CLE,-0.08033533934947852,0.4329896907216495,248.0,0.0,0.0,0.0,2025,6,PIT,CLE,23.0,9.0,PIT,0,273.0,-0.15683396312106504,-0.1580335086346087,-0.0682313688121001,-0.012103970537378425
1340,2025_07_MIA_CLE,CLE,-0.05456200181280389,0.3424657534246575,206.0,3.0,0.0,0.0,2025,7,CLE,MIA,31.0,6.0,MIA,1,258.6666666666667,-0.0476764963652046,-0.12356698160310989,-0.0682313688121001,0.013669366999296204
1148,2025_01_DAL_PHI,DAL,0.13882451553592903,0.5135135135135135,307.0,2.0,0.0,1.0,2025,1,PHI,DAL,24.0,20.0,PHI,0,317.6666666666667,-0.02599314201337352,0.032020277985415804,0.017919370681105044,0.12090514485482398
1192,2025_02_NYG_DAL,DAL,0.13466424909732486,0.49137931034482757,478.0,4.0,1.0,0.0,2025,2,DAL,NYG,40.0,37.0,NYG,1,387.6666666666667,0.10530391034369674,0.022202557045164162,0.017919370681105044,0.1167448784162198
1211,2025_03_DAL_CHI,DAL,-0.004570578496424139,0.4827586206896552,398.0,1.0,3.0,1.0,2025,3,CHI,DAL,31.0,14.0,CHI,0,394.3333333333333,0.08963939537894323,0.010422848912156031,0.017919370681105044,-0.022489949177529184
1246,2025_04_GB_DAL,DAL,0.23102421431837958,0.5280898876404494,436.0,5.0,0.0,0.0,2025,4,DAL,GB,40.0,40.0,GB,0,437.3333333333333,0.12037262830642674,0.10847307337060914,0.017919370681105044,0.21310484363727453
1268,2025_05_DAL_NYJ,DAL,0.26112837212458967,0.48148148148148145,416.0,5.0,0.0,0.0,2025,5,NYJ,DAL,22.0,37.0,NYJ,1,416.6666666666667,0.1625273359821817,0.1522141545159598,0.017919370681105044,0.24320900144348462
1307,2025_06_DAL_CAR,DAL,0.17656728802055674,0.4520547945205479,292.0,3.0,0.0,0.0,2025,6,CAR,DAL,30.0,27.0,CAR,0,381.3333333333333,0.2229066248211753,0.15976270901288533,0.017919370681105044,0.1586479173394517
1354,2025_07_WAS_DAL,DAL,0.19246128550047667,0.47058823529411764,409.0,4.0,0.0,0.0,2025,7,DAL,WAS,44.0,22.0,WAS,1,372.3333333333333,0.2100523152152077,0.17132211629351568,0.017919370681105044,0.17454191481937162
1170,2025_01_TEN_DEN,DEN,-0.10953810627750764,0.42391304347826086,317.0,2.0,2.0,1.0,2025,1,DEN,TEN,20.0,12.0,TEN,1,340.0,0.02679769079392014,0.06835642509341036,-0.03365321736756391,-0.07588488890994373
1182,2025_02_DEN_IND,DEN,0.16619715436316812,0.5466666666666666,324.0,4.0,1.0,0.0,2025,2,IND,DEN,29.0,28.0,IND,0,288.3333333333333,-0.022762024120821456,0.07270654887174219,-0.03365321736756391,0.19985037173073203
1212,2025_03_DEN_LAC,DEN,-0.09616969888720432,0.3188405797101449,265.0,2.0,0.0,0.0,2025,3,LAC,DEN,23.0,20.0,LAC,0,302.0,-0.013170216933847923,0.03008410557154485,-0.03365321736756391,-0.06251648151964041
1243,2025_04_CIN_DEN,DEN,0.1716648067807337,0.5053763440860215,512.0,4.0,1.0,0.0,2025,4,DEN,CIN,28.0,3.0,CIN,1,367.0,0.08056408741889919,0.001441807106213011,-0.03365321736756391,0.2053180241482976
1270,2025_05_DEN_PHI,DEN,0.06264112544534677,0.4842105263157895,360.0,2.0,0.0,0.0,2025,5,PHI,DEN,17.0,21.0,PHI,1,379.0,0.046045411112958734,0.03895905628490735,-0.03365321736756391,0.09629434281291067
1308,2025_06_DEN_NYJ,DEN,-0.1095799302055507,0.3466666666666667,246.0,1.0,0.0,1.0,2025,6,NYJ,DEN,11.0,13.0,NYJ,1,372.6666666666667,0.04157533400684329,0.03895069149929874,-0.03365321736756391,-0.07592671283798678
1346,2025_07_NYG_DEN,DEN,0.10657533139340948,0.45,411.0,4.0,0.0,0.0,2025,7,DEN,NYG,33.0,32.0,NYG,1,339.0,0.019878842211068545,0.02702632690534701,-0.03365321736756391,0.1402285487609734
1150,2025_01_DET_GB,DET,-0.053930350450451615,0.43373493975903615,246.0,1.0,1.0,0.0,2025,1,GB,DET,27.0,13.0,GB,0,387.0,0.01417286283127852,0.13228328937817396,-0.02232018432472693,-0.03161016612572469
1179,2025_02_CHI_DET,DET,0.3040654393475693,0.5714285714285714,511.0,7.0,0.0,0.0,2025,2,DET,CHI,52.0,21.0,CHI,1,426.0,0.10354566694358154,0.13716087593324736,-0.02232018432472693,0.32638562367229623
1215,2025_03_DET_BAL,DET,0.28674891570076433,0.5930232558139535,426.0,5.0,0.0,0.0,2025,3,BAL,DET,30.0,38.0,BAL,1,394.3333333333333,0.17896133486596066,0.12666658870843384,-0.02232018432472693,0.30906910002549126
1245,2025_04_CLE_DET,DET,-0.0833274719162131,0.43037974683544306,277.0,3.0,1.0,0.0,2025,4,DET,CLE,34.0,10.0,CLE,1,404.6666666666667,0.16916229437737348,0.10281168892305917,-0.02232018432472693,-0.06100728759148617
1273,2025_05_DET_CIN,DET,0.18806264048450777,0.5443037974683544,365.0,5.0,0.0,1.0,2025,5,CIN,DET,24.0,37.0,CIN,1,356.0,0.130494694756353,0.12832383463323532,-0.02232018432472693,0.2103828248092347
